"","2.5%","25%","50%","75%","97.5%","species"
"intYr[1,8]",-0.660041248938164,-0.13470279991002,0.131973161312424,0.398705683169729,0.921926830156132,"BOGR"
"intYr[2,8]",-1.23863309386849,-0.697609104169938,-0.415118809915167,-0.125370782932577,0.445885664862254,"HECO"
"intYr[3,8]",-1.53225967631626,-1.12892847308986,-0.914780318341121,-0.703526877101757,-0.281762935989415,"PASM"
"intYr[4,8]",-2.34273020206546,-1.79903464268303,-1.52844726570986,-1.26972893648022,-0.744007292191267,"POSE"
"intYr[1,9]",-0.951431258284805,-0.472583528539336,-0.218027133991591,0.0401284639330028,0.567217674067802,"BOGR"
"intYr[2,9]",-1.43428048914068,-0.915328775237161,-0.637999971710777,-0.363089651975701,0.188027207155039,"HECO"
"intYr[3,9]",-1.58006581238591,-1.17809258410337,-0.962078745735403,-0.754448802932968,-0.359630388774062,"PASM"
"intYr[4,9]",-2.22175703120329,-1.68109027442755,-1.40670749722724,-1.13808706228921,-0.56886021783583,"POSE"
"intYr[1,10]",-0.607312273663001,-0.10462192492562,0.158958175911625,0.421028754979479,0.93140016947439,"BOGR"
"intYr[2,10]",-1.00030910883191,-0.425753194261209,-0.129519923300824,0.168299701635234,0.741101550954033,"HECO"
"intYr[3,10]",-1.49649262902433,-1.09876472043608,-0.88452659389759,-0.672730358370872,-0.231114756729867,"PASM"
"intYr[4,10]",-3.09289481376429,-2.25285929190517,-1.90252797972499,-1.58378650343681,-1.07098121637937,"POSE"
"intYr[1,11]",-1.0579327938878,-0.460178219182765,-0.156607302138194,0.156039482320707,0.781706809039635,"BOGR"
"intYr[2,11]",-1.77524812022604,-1.15606152947728,-0.840789493627204,-0.513357649137241,0.134562608613198,"HECO"
"intYr[3,11]",-1.55338221839151,-1.14724745370683,-0.933718595378276,-0.721303538910492,-0.291677546656245,"PASM"
"intYr[4,11]",-2.58235568950166,-1.87128729607516,-1.53959955854496,-1.23372603057374,-0.590517095051891,"POSE"
"intYr[1,12]",-1.52494439352117,-0.824567209053435,-0.486642600675081,-0.15401860341066,0.534207847847128,"BOGR"
"intYr[2,12]",-2.0210530619889,-1.25482687757559,-0.888682761496507,-0.532242769062827,0.181072332194352,"HECO"
"intYr[3,12]",-1.69338190834019,-1.24897115747513,-1.02620769917081,-0.813972823860663,-0.413652629239757,"PASM"
"intYr[4,12]",-2.61430452762496,-1.88146248924825,-1.52903320907641,-1.20603358280913,-0.475510543123179,"POSE"
"intYr[1,13]",-1.86899342369146,-1.04490495310481,-0.657483540747432,-0.276089117442887,0.494813708058992,"BOGR"
"intYr[2,13]",-2.11280203938999,-1.29308559610889,-0.900826571081063,-0.509463604539006,0.278125357723953,"HECO"
"intYr[3,13]",-1.66252997309462,-1.21786919424959,-0.995583973842654,-0.780579694505567,-0.377807740101819,"PASM"
"intYr[4,13]",-2.32086930448102,-1.62372551314112,-1.28058031962733,-0.912075803417975,-0.0458578581755759,"POSE"
"intercept[1]",-0.986122268453001,-0.551971194012345,-0.337521541981945,-0.124815193403415,0.315346379633878,"BOGR"
"intercept[2]",-1.43061426912812,-0.941203098822677,-0.691088393066767,-0.433855329076602,0.0706037639547241,"HECO"
"intercept[3]",-1.53293698308839,-1.16147277339351,-0.962640736298287,-0.771349535386217,-0.411221423914589,"PASM"
"intercept[4]",-2.13029333567615,-1.65507116951639,-1.41748276144899,-1.1828160320408,-0.683240077107111,"POSE"
"rain1[1]",-0.0635804620528889,0.241120987253273,0.388117850715836,0.549031284152881,0.93424866969233,"BOGR"
"rain1[2]",-0.0908868428701661,0.209176045586599,0.350608645620943,0.49548455679924,0.830624293275363,"HECO"
"rain1[3]",0.0376455359530429,0.248287935044503,0.350167932185167,0.453145408806993,0.665260646890633,"PASM"
"rain1[4]",-0.501945545674862,-0.0864113649024693,0.116633340995877,0.291334527033096,0.564140321127964,"POSE"
"rain2[1]",-0.187213919341359,0.0511397474022528,0.156953903584404,0.269429659880144,0.575165552271762,"BOGR"
"rain2[2]",-0.155601882982756,0.0701581112951585,0.174865449376005,0.291114904775764,0.598523834857854,"HECO"
"rain2[3]",-0.0556221404889217,0.0834040738637712,0.150020366656148,0.217430551217049,0.357834833144099,"PASM"
"rain2[4]",-0.507540943838191,-0.132008961261364,0.0169265685595856,0.131618220682531,0.325559142438151,"POSE"
"rainLag[1]",-0.63101705413314,-0.384843037933033,-0.28368848340154,-0.184012221375148,0.0500072212986218,"BOGR"
"rainLag[2]",-0.69515909663995,-0.418748100149822,-0.311353597903254,-0.212671355680434,-0.00161908567479041,"HECO"
"rainLag[3]",-0.464625977212019,-0.311641848770352,-0.239759487540853,-0.169274678888099,-0.0285163636081655,"PASM"
"rainLag[4]",-0.742578081857532,-0.446042420720855,-0.335669784187484,-0.238347083051144,-0.0576984791487304,"POSE"
"tau[1]",1.56870451608933,1.83359651011263,1.98204783088234,2.13970701025056,2.45980742424354,"BOGR"
"tau[2]",1.42015931424555,1.66429571125094,1.80139968626819,1.9462977425402,2.24136367195177,"HECO"
"tau[3]",1.96410986210977,2.24940651426763,2.40713018048797,2.57451271963928,2.91596777775251,"PASM"
"tau[4]",1.67985073846494,1.94436213996143,2.09414192420737,2.25342180011111,2.58190831182475,"POSE"
"temp1[1]",-0.6517201614259,-0.265301696459107,-0.120640643427273,0.00227529828137623,0.246874974774948,"BOGR"
"temp1[2]",-0.585134173502148,-0.245090346205947,-0.108396379653891,0.0122601879479594,0.261373041678613,"HECO"
"temp1[3]",-0.331040987900474,-0.15016255845011,-0.0652906045898225,0.0201030190397923,0.191533465813777,"PASM"
"temp1[4]",-0.271778154315664,-0.0466054366500993,0.0841399489669589,0.239442550745344,0.553863686562434,"POSE"
"temp2[1]",-0.24062226690761,0.00285820637415214,0.116352113597882,0.228934703106587,0.498639502830697,"BOGR"
"temp2[2]",-0.287580702619115,-0.0218101671885735,0.0925355312273875,0.202284619324145,0.43559736522715,"HECO"
"temp2[3]",-0.145303459826362,0.0403842805577916,0.127772907685257,0.211129941983016,0.370667488011311,"PASM"
"temp2[4]",-0.344799583833241,-0.0594472922715977,0.0621085752366756,0.173832436676861,0.392143671509673,"POSE"
